Rank,Title,Year,Rating,Weight,Type,Min Players,Max Players,Community Player Count Min,Community Player Count Max,Community Best Player Count Min,Community Best Player Count Max,Playing Time Min,Playing Time Max,Age,Community Age,Designers,Artists,Categories
11,Spirit Island,2017,8.3404,4.0776,Strategy Game(10),1,4,1,4,2,2,90,120,13,14,R. Eric Reuss,Jason Behnke; Loïc Berger; Loïc Billiau; Kat G Birmelin; Cari Corene; Lucas Durham; Rocky Hammer; Sydni Kruger; Nolan Nasser; Jorge Ramos; Adam Rebottaro; Moro Rogers; Graham Sternberg; Shane Tyree; Joshua Wright (I),Environmental; Fantasy; Mythology; Territory Building
12,Gloomhaven: Jaws of the Lion,2020,8.36852,3.6345,"Thematic(8), Strategy Game(12)",1,4,1,4,2,2,30,120,14,12,Isaac Childres,Francesca Baerald; David Demaret; Alexandr Elichev,Adventure; Exploration; Fantasy; Fighting; Miniatures
13,Gaia Project,2017,8.35471,4.4021,Strategy Game(9),1,4,1,4,3,4,60,150,12,14,Jens Drögemüller; Helge Ostertag,Dennis Lohausen,Civilization; Economic; Science Fiction; Space Exploration; Territory Building
14,Twilight Struggle,2005,8.22992,3.6139,"War Game(2), Strategy Game(16)",2,2,2,2,2,2,120,180,13,14,Ananda Gupta; Jason Matthews,Viktor Csete; Rodger B. MacGowan; Chechu Nieto; Guillaume Ries; Mark Simonitch,Modern Warfare; Political; Wargame
15,The Castles of Burgundy,2011,8.1564,2.9736,Strategy Game(18),2,4,2,4,2,2,30,90,12,12,Stefan Feld,Julien Delval; Harald Lieske,Animals; Dice; Medieval; Territory Building
16,Through the Ages: A New Story of Civilization,2015,8.2538,4.44,Strategy Game(14),2,4,2,4,3,3,120,120,14,14,Vlaada Chvátil,Filip Murmak; Radim Pech; Jakub Politzer; Milan Vavroň,Card Game; Civilization; Economic
17,Great Western Trail,2016,8.15334,3.6943,Strategy Game(20),2,4,2,4,3,3,75,150,12,12,Alexander Pfister,Andreas Resch,American West; Animals
18,SETI: Search for Extraterrestrial Intelligence,2024,8.41026,3.8154,Strategy Game(15),1,4,1,4,3,3,40,160,14,14,Tomáš Holek,Ondřej Hrdina; Oto Kandera; Jiří Kůs; Jakub Lang; Michaela Lovecká; Jiří Mikovec; Jakub Politzer; Petra Ramešová; František Sedláček; Petr Štich; Petr Štich (III); Josef Surý,Science Fiction; Space Exploration
19,Slay the Spire: The Board Game,2024,8.6708,2.9085,Strategy Game(13),1,4,1,4,2,2,30,150,12,12,Gary Dworetsky; Anthony Giovannetti; Casey Yano,Bruce Brenneise; Jose David Lanza Cebrian; Anailis Dorta,Adventure; Card Game; Fantasy; Fighting; Video Game Theme
20,Frosthaven,2022,8.75626,4.4099,"Thematic(6), Strategy Game(11)",1,4,1,4,3,3,90,180,14,14,Isaac Childres,Francesca Baerald; David Demaret; Alexandr Elichev; Josh T. McDowell,Adventure; Exploration; Fantasy; Fighting; Miniatures
21,Eclipse: Second Dawn for the Galaxy,2020,8.40008,3.6633,Strategy Game(17),2,6,2,6,4,6,60,200,14,12,Touko Tahkokallio,Noah Adelman; Jere Kasanen; Jukka Rajaniemi; Sampo Sikiö,Civilization; Exploration; Science Fiction; Space Exploration; Territory Building; Wargame
22,Brass: Lancashire,2007,8.19717,3.8482,Strategy Game(19),2,4,2,4,4,4,60,120,14,14,Martin Wallace,Gavan Brown; Lina Cossette; Peter Dennis; David Forest; Eckhard Freytag; Damien Mammoliti,Economic; Educational; Industry / Manufacturing; Post-Napoleonic; Transportation
23,7 Wonders Duel,2015,8.0801,2.2273,Strategy Game(26),2,2,2,2,2,2,30,30,10,10,Antoine Bauza; Bruno Cathala,Miguel Coimbra,Ancient; Card Game; City Building; Civilization; Economic
24,Scythe,2016,8.10548,3.4523,Strategy Game(25),1,5,1,5,4,4,115,115,14,14,Jamey Stegmaier,Jakub Rozalski,Economic; Fighting; Science Fiction; Territory Building
25,Nemesis,2018,8.2524,3.4874,Thematic(12),1,5,1,5,4,5,90,180,12,14,Adam Kwapiński,Piotr Foksowicz; Patryk Jędraszek; Ewa Labak; Andrzej Półtoranos,Adventure; Horror; Miniatures; Science Fiction
26,The Lord of the Rings: Duel for Middle-earth,2024,8.36084,2.0645,"Strategy Game(21), Family Game(1)",2,2,2,2,2,2,30,30,10,10,Antoine Bauza; Bruno Cathala,Vincent Dutrait,Card Game; Fantasy; Novel-based
27,A Feast for Odin,2016,8.16327,3.8664,Strategy Game(23),1,4,1,4,3,3,30,120,12,12,Uwe Rosenberg,Dennis Lohausen,Animals; Farming; Industry / Manufacturing; Medieval; Puzzle
28,Clank! Legacy: Acquisitions Incorporated,2019,8.50176,2.7391,Thematic(7),2,4,2,4,4,4,90,120,13,12,Andy Clautice; Paul Dennen,Clay Brooks; Anika Burrell; Derek Herring; Raul Ramos; Nate Storm; Alain Viesca,Adventure; Fantasy
29,Concordia,2013,8.07981,2.9886,Strategy Game(24),2,5,2,5,4,4,100,100,13,12,Mac Gerdts,Marina Fahrenbach; Mac Gerdts; Dominik Mayer,Ancient; Economic; Nautical
30,Lost Ruins of Arnak,2020,8.07972,2.932,Strategy Game(31),1,4,1,4,3,3,30,120,12,10,Elwen; Mín,Ondřej Hrdina; Jiří Kůs; Filip Murmak; Jakub Politzer; František Sedláček; Milan Vavroň,Adventure; Card Game; Exploration; Fantasy
31,Great Western Trail: Second Edition,2021,8.27051,3.7064,Strategy Game(22),1,4,1,4,3,3,75,150,12,12,Alexander Pfister,Chris Quilliams,American West; Animals
32,Arkham Horror: The Card Game,2016,8.12284,3.5638,"Customizable(2), Thematic(13)",1,2,1,2,2,2,60,120,14,14,Nate French; MJ Newman,Christopher Hosch; Marcin Jakubowski; Ignacio Bazán Lazcano; Henning Ludvigsen; Mercedes Opheim; Zoe Robinson; Evan Simonet,Adventure; Card Game; Collectible Components; Exploration; Horror; Novel-based
33,Root,2018,8.06938,3.8384,"War Game(13), Strategy Game(37)",2,4,3,4,4,4,60,90,14,14,Cole Wehrle,Kyle Ferrin,Animals; Fantasy; Negotiation; Territory Building; Wargame
34,Sky Team,2023,8.12972,2.0392,"Thematic(14), Family Game(3)",2,2,2,2,2,2,20,20,10,10,Luc Rémond,Eric Hibbeler; Adrien Rives,Aviation / Flight; Dice
35,Terra Mystica,2012,8.03509,3.973,Strategy Game(34),2,5,3,5,4,4,60,150,12,14,Jens Drögemüller; Helge Ostertag,Dennis Lohausen,Civilization; Economic; Fantasy; Territory Building
36,Too Many Bones,2017,8.29581,3.8689,"Thematic(11), Strategy Game(30)",1,4,1,4,2,2,60,120,12,12,Josh J. Carlson; Adam Carlson,Anthony LeTourneau,Adventure; Dice; Fantasy; Fighting
37,Orléans,2014,8.04779,3.0134,Strategy Game(33),2,5,2,4,4,4,90,90,12,12,Reiner Stockhausen,Klemens Franz,Medieval; Religious; Travel
38,Wingspan,2019,8.00435,2.4783,"Strategy Game(48), Family Game(5)",1,5,1,4,3,3,40,70,10,10,Elizabeth Hargrave,Ana Maria Martinez Jaramillo; Natalia Rojas; Greg May; Beth Sobel,Animals; Card Game; Educational
39,Mage Knight Board Game,2011,8.0802,4.3742,"Thematic(18), Strategy Game(38)",1,4,1,3,1,2,60,240,14,14,Vlaada Chvátil,J. Lonnee; Chris Raimo; Milan Vavroň,Adventure; Exploration; Fantasy; Fighting
40,Barrage,2019,8.1382,4.1137,Strategy Game(32),1,4,2,4,4,4,90,180,14,14,Tommaso Battista; Simone Luciani,Mauro Alocci; Antonio De Luca; Roman Roland Kuteynikov,Economic; Environmental; Industry / Manufacturing
41,Hegemony: Lead Your Class to Victory,2023,8.38888,4.2497,Strategy Game(27),2,4,2,4,4,4,90,180,14,16,Vangelis Bagiartakis; Varnavas Timotheou,Dimitris Anastasiadis; Jakub Skop; Katerina Xerovasila,Economic; Educational; Negotiation; Political
42,Everdell,2018,7.98797,2.834,"Strategy Game(50), Family Game(8)",1,4,1,4,3,3,40,80,10,12,James A. Wilson,Andrew Bosley; Cody Jones; Dann May,Animals; Card Game; City Building; Fantasy
43,The Crew: Mission Deep Sea,2021,8.06143,2.0479,"Strategy Game(36), Family Game(4)",2,5,3,5,4,4,20,20,10,10,Thomas Sing,Marco Armbruster,Adventure; Card Game; Mythology; Nautical
44,Viticulture Essential Edition,2015,7.96194,2.8954,Strategy Game(46),1,6,1,5,3,4,45,90,13,12,Jamey Stegmaier; Alan Stone,Jacqui Davis; David Montgomery; Beth Sobel,Economic; Farming
45,Crokinole,1876,8.06437,1.2214,Family Game(6),2,4,2,4,2,4,30,30,8,6,(Uncredited),Allison Litchfield; Orlando Ramirez,Action / Dexterity
46,Heat: Pedal to the Metal,2022,8.00331,2.207,Family Game(9),1,6,1,6,5,6,30,60,10,8,Asger Aleksandrov Granerud; Daniel Skjold Pedersen,Vincent Dutrait,Racing; Sports
47,Kanban EV,2020,8.37737,4.2993,Strategy Game(28),1,4,1,4,3,3,60,180,14,14,Vital Lacerda,Ian O'Toole,Economic; Industry / Manufacturing
48,Marvel Champions: The Card Game,2019,8.10612,2.9542,Customizable(3),1,4,1,3,1,2,45,90,14,12,Michael Boggs; Nate French; Caleb Grace,N/A,Card Game; Collectible Components; Comic Book / Strip; Fighting
49,Underwater Cities,2018,8.04296,3.5832,Strategy Game(40),1,4,1,3,2,2,80,150,12,12,Vladimír Suchý,Milan Vavroň; Uildrim,Card Game; City Building; Industry / Manufacturing; Nautical; Science Fiction
50,Food Chain Magnate,2015,8.03628,4.1873,Strategy Game(42),2,5,2,5,3,4,120,240,14,14,Jeroen Doumen; Joris Wiersinga,Snow Conrad; Iris de Haan; Sarah Kelly; Victor Maristane; Matt Paquette & Co.; Ynze Moedt; Kwanchai Moriya,Economic; Industry / Manufacturing
51,Pax Pamir: Second Edition,2019,8.12846,3.8476,Strategy Game(41),1,5,1,5,4,4,45,120,13,14,Cole Wehrle,Cole Wehrle,Economic; Educational; Negotiation; Political; Post-Napoleonic; Spies / Secret Agents
52,Cthulhu: Death May Die,2019,8.18252,2.4927,Thematic(15),1,5,1,4,3,3,90,120,14,12,Rob Daviau; Eric M. Lang,Nicolas Fructus; Karl Kopinski; Thierry Masson; Adrian Smith; Richard Wright,Fantasy; Fighting; Horror; Miniatures; Novel-based
53,Puerto Rico,2002,7.89866,3.2674,Strategy Game(55),3,5,3,5,4,4,90,150,12,12,Andreas Seyfarth,Franz Vohwinkel,City Building; Economic; Farming
54,Age of Innovation,2023,8.47721,4.2634,Strategy Game(29),1,5,1,5,4,4,40,200,14,14,Helge Ostertag,Álvaro Calvo Escudero; Lukas Siegmon,Civilization; Economic; Fantasy; Territory Building
55,Clank!: Catacombs,2022,8.24034,2.4854,"Strategy Game(43), Family Game(7)",2,4,2,4,3,3,45,90,13,10,Paul Dennen,Clay Brooks; Anika Burrell; Derek Herring; Rastislav Le; Raul Ramos; Nate Storm; Dan Taylor (II),Adventure; Fantasy
56,On Mars,2020,8.16334,4.6287,Strategy Game(44),1,4,1,4,3,3,90,150,14,14,Vital Lacerda,Ian O'Toole,City Building; Economic; Exploration; Science Fiction; Space Exploration; Territory Building
57,Cascadia,2021,7.89777,1.8424,"Abstract Game(1), Family Game(11)",1,4,1,4,2,3,30,45,10,8,Randy Flynn,Beth Sobel,Animals; Environmental
58,Pandemic Legacy: Season 0,2020,8.34438,3.1713,"Thematic(10), Strategy Game(35)",2,4,2,4,4,4,45,60,14,12,Rob Daviau; Matt Leacock,Dan Gerlach; Monica Helland; Atha Kanaani; Samuel R. Shimota,Medical; Spies / Secret Agents
59,Ticket to Ride Legacy: Legends of the West,2023,8.65225,2.5564,Family Game(2),2,5,3,5,4,5,20,90,10,10,Rob Daviau; Matt Leacock; Alan R. Moon,Cyrille Daujean; Julien Delval,Trains
60,Caverna: The Cave Farmers,2013,7.92551,3.7749,Strategy Game(52),1,7,1,5,4,4,30,210,12,12,Uwe Rosenberg,Javier González Cava; Klemens Franz,Animals; Economic; Fantasy; Farming
61,Anachrony,2017,8.04446,4.0026,Strategy Game(47),1,4,1,4,3,3,30,120,15,14,Dávid Turczi; Richard Ámann; Viktor Péter,Villő Farkas; László Fejes; Laslo Forgach; Márton Gyula Kiss; Péter Meszlényi,Economic; Science Fiction
62,Harmonies,2024,8.02935,2.0123,"Abstract Game(2), Family Game(10)",1,4,1,4,2,3,30,45,10,8,Johan Benvenuto,Maëva da Silva,Abstract Strategy; Animals; Environmental
63,Blood Rage,2015,7.90294,2.8805,Strategy Game(63),2,4,3,4,4,4,60,90,14,12,Eric M. Lang,Henning Ludvigsen; Thierry Masson; Mike McVey; Adrian Smith,Fantasy; Fighting; Miniatures; Mythology
64,Agricola,2007,7.85975,3.6353,Strategy Game(62),1,5,1,5,3,4,30,150,12,12,Uwe Rosenberg,Klemens Franz,Animals; Economic; Farming
65,Oathsworn: Into the Deepwood,2022,8.78354,3.6893,Thematic(9),1,4,1,4,2,4,30,90,14,14,Jamie Jolly,Francesca Baerald; Vladimir Buchyk; Sean Jackson; Dongjun Lu; Dongbiao Lu,Adventure; Card Game; Dice; Exploration; Fantasy; Fighting; Miniatures; Mythology; Puzzle
66,Obsession,2018,8.08025,3.1077,"Thematic(22), Strategy Game(51)",1,4,1,4,2,2,30,90,14,12,Dan Hallagan,Dan Hallagan,Post-Napoleonic
67,Grand Austria Hotel,2015,7.96176,3.2004,Strategy Game(53),2,4,2,3,2,2,60,120,12,12,Virginio Gigli; Simone Luciani,Klemens Franz,Economic
68,Lisboa,2017,8.17008,4.5744,Strategy Game(45),1,4,1,4,3,3,60,120,12,14,Vital Lacerda,Ian O'Toole,City Building; Economic; Industry / Manufacturing; Political
69,Sleeping Gods,2021,8.10452,3.2622,Thematic(21),1,4,1,3,1,2,60,1200,13,10,Ryan Laukat,Ryan Laukat,Adventure; Exploration; Fantasy; Fighting; Nautical
70,Pandemic Legacy: Season 2,2017,8.01502,3.2413,"Thematic(20), Strategy Game(54)",2,4,2,4,4,4,60,60,14,12,Rob Daviau; Matt Leacock,Atha Kanaani; Chris Quilliams,Environmental; Exploration; Medical; Science Fiction
71,Tzolk'in: The Mayan Calendar,2012,7.84729,3.6636,Strategy Game(66),2,4,2,4,4,4,90,90,13,12,Simone Luciani; Daniele Tascini,Milan Vavroň,Ancient; Civilization; Economic; Farming; Mythology
72,Power Grid,2004,7.80016,3.2482,Strategy Game(73),2,6,3,6,4,5,120,120,12,12,Friedemann Friese,"Domonkos Bence; Antonio Dessi; Lars-Arne ""Maura"" Kalusky; Prapach Lapamnuaysap; Harald Lieske",Economic; Industry / Manufacturing
73,Mansions of Madness: Second Edition,2016,7.92036,2.6995,Thematic(28),1,5,1,5,3,4,120,180,14,12,Nikki Valens,Cristi Balanescu; Yoann Boissonnet; Anders Finér; Tony Foti; Corey Konieczka; Jacob Murray; Magali Villeneuve,Adventure; Exploration; Fantasy; Fighting; Horror; Miniatures; Murder / Mystery; Mythology; Novel-based; Puzzle
74,Blood on the Clocktower,2022,8.36028,3.0354,"Strategy Game(56), Party Game(1)",6,21,7,16,9,12,30,120,15,12,Steven Medway,Micaela Dawn; Aidan Roberts; John VanFleet; Grace VanFleet,Bluffing; Deduction; Murder / Mystery; Party Game
75,Clans of Caledonia,2017,7.9443,3.4702,Strategy Game(58),1,4,1,4,4,4,30,120,12,12,Juma Al-JouJou,Klemens Franz,Economic; Farming
76,The White Castle,2023,7.98334,3.0553,Strategy Game(67),1,4,1,4,3,3,80,80,12,12,Isra C.; Shei S.,Joan Guardiet,Dice; Economic
77,Quacks,2018,7.80571,1.9411,Family Game(12),2,4,2,4,4,4,45,45,10,8,Wolfgang Warsch,Dennis Lohausen; Ryogo Toyoda,Fantasy; Medieval
78,Paladins of the West Kingdom,2019,7.95897,3.7119,Strategy Game(61),1,4,1,3,2,2,90,120,12,14,S J Macdonald; Shem Phillips,Mihajlo Dimitrievski,Medieval
79,Le Havre,2008,7.83508,3.7083,Strategy Game(71),1,5,1,4,3,3,30,150,12,12,Uwe Rosenberg,Klemens Franz,City Building; Economic; Industry / Manufacturing; Nautical
80,The Gallerist,2015,8.00337,4.2139,Strategy Game(57),1,4,1,4,3,4,60,150,13,14,Vital Lacerda,Ian O'Toole,Economic
81,Great Western Trail: New Zealand,2023,8.47692,4.0065,Strategy Game(39),1,4,1,4,3,3,75,150,12,12,Alexander Pfister,Chris Quilliams,Animals
82,Android: Netrunner,2012,7.89091,3.414,Customizable(5),2,2,2,2,2,2,45,45,14,12,Richard Garfield; Lukas Litzsinger,Bruno Balixa; Ralph Beisner; Del Borovic; Adam S. Doyle; Amelie Hutt; Thomas Lishman; Henning Ludvigsen; Ed Mattinian; Dallas Mehlhoff; Adam Schumpert; Mark Anthony Taduran; Matt Zeilinger,Bluffing; Card Game; Collectible Components; Science Fiction
83,Star Wars: Imperial Assault,2014,7.95441,3.3024,Thematic(29),2,5,2,5,2,5,60,120,14,12,Justin Kemppainen; Corey Konieczka; Jonathan Ying,Arden Beckwith; Christopher Burdett; Rovina Cai; Lucas Durham; Joel Hustak; Michal Ivan; David Kegg; Henning Ludvigsen; Brynn Metheney; Vlad Ricean; Ryan Valle; Ben Zweifel,Adventure; Exploration; Fighting; Miniatures; Movies / TV / Radio theme; Science Fiction; Wargame
84,Agricola (Revised Edition),2016,7.95841,3.4444,Strategy Game(72),1,4,1,4,3,4,30,120,12,12,Uwe Rosenberg,Klemens Franz,Animals; Economic; Farming
85,Maracaibo,2019,7.95163,3.9152,Strategy Game(68),1,4,1,4,3,3,30,120,12,14,Alexander Pfister,Fiore GmbH; Aline Kirrmann,Economic; Exploration; Nautical; Pirates
86,Mechs vs. Minions,2016,7.95471,2.4586,"Thematic(26), Strategy Game(74)",2,4,2,4,4,4,60,120,14,10,Chris Cantrell; Rick Ernst; Stone Librande; Prashant Saraswat; Nathan Tiras,Danny Beck; Tysen Henderson,Fantasy; Fighting; Miniatures; Video Game Theme
87,Darwin's Journey,2023,8.10024,3.9026,Strategy Game(60),1,4,1,4,3,3,60,120,14,14,Simone Luciani; Nestore Mangone,Kristiaan der Nederlanden; Paolo Voto,Exploration; Travel
88,Kingdom Death: Monster,2015,8.4812,4.2755,Thematic(19),1,4,1,4,4,4,60,180,17,18,Adam Poots,Zeen Chin; Lokman Lam; Lorinda Tomko,Adventure; Dice; Fantasy; Fighting; Horror; Mature / Adult; Miniatures; Mythology
89,The Crew: The Quest for Planet Nine,2019,7.76204,1.963,Family Game(13),2,5,3,5,4,4,20,20,10,10,Thomas Sing,Marco Armbruster; Sensit Communication GmbH,Card Game; Science Fiction; Space Exploration
90,Revive,2022,8.07044,3.4579,Strategy Game(64),1,4,1,4,3,3,90,120,14,14,Helge Meissner; Kristian Amundsen Østby; Eilif Svensson; Anna Wermlund,Gjermund Bohne; Martin Mottet; Dan Roff; Jessy Töpfer,Civilization; Industry / Manufacturing; Science Fiction
91,Race for the Galaxy,2007,7.73781,2.9917,Strategy Game(81),2,4,2,4,2,2,30,60,12,12,Thomas Lehmann,Martin Hoffmann; Claus Stephan,Card Game; Civilization; Economic; Science Fiction; Space Exploration
92,Voidfall,2023,8.51463,4.6041,Strategy Game(49),1,4,1,4,1,3,90,240,15,16,Nigel Buckle; Dávid Turczi,Ian O'Toole,Civilization; Economic; Science Fiction; Space Exploration
93,Wingspan Asia,2022,8.223,2.6471,Strategy Game(69),1,2,1,2,2,2,40,70,10,10,Elizabeth Hargrave,Ana Maria Martinez Jaramillo; Natalia Rojas,Animals; Economic; Educational
94,Azul,2017,7.71942,1.7743,"Abstract Game(3), Family Game(16)",2,4,2,4,2,2,30,45,8,8,Michael Kiesling,Philippe Guérin; Chris Quilliams,Abstract Strategy; Renaissance
95,Five Tribes: The Djinns of Naqala,2014,7.76471,2.8392,Strategy Game(85),2,4,2,4,2,2,40,80,13,12,Bruno Cathala,Clément Masson,Arabian; Fantasy; Mythology
96,Final Girl,2021,8.24222,2.7423,Thematic(23),1,1,1,1,1,1,20,60,14,14,Evan Derrick; A. J. Porfirio,Tyler Johnson; Roland MacDonald,Card Game; Fantasy; Horror
97,Clank!: A Deck-Building Adventure,2016,7.76472,2.2329,"Strategy Game(94), Family Game(18)",2,4,2,4,3,4,30,60,12,8,Paul Dennen,Rayph Beisner; Raul Ramos; Nate Storm,Adventure; Fantasy
98,Fields of Arle,2014,8.02527,3.8436,Strategy Game(70),1,2,1,2,2,2,60,120,13,12,Uwe Rosenberg,Dennis Lohausen,Economic; Farming; Industry / Manufacturing
99,Eclipse: New Dawn for the Galaxy,2011,7.81928,3.7059,Strategy Game(88),2,6,2,6,4,6,60,180,14,12,Touko Tahkokallio,Ossi Hiekkala; Sampo Sikiö,Civilization; Fighting; Science Fiction; Space Exploration; Territory Building; Wargame
100,El Grande,1995,7.76938,2.9363,Strategy Game(80),2,5,3,5,5,5,60,120,12,12,Wolfgang Kramer; Richard Ulrich,Doris Matthäus; Stefan Sonnberger; Franz-Georg Stämmele,Medieval
101,Aeon's End,2016,7.86706,2.8031,Strategy Game(92),1,4,1,4,2,2,60,60,14,12,Jenny Iglesias; Nick Little (I); Kevin Riley,Gong Studios,Card Game; Fantasy; Fighting; Science Fiction
102,SCOUT,2019,7.79926,1.3862,Family Game(15),2,5,3,5,4,4,20,20,9,8,Kei Kajino (梶野 桂),Kei Kajino (梶野 桂); Rie Komatsuzaki; Jun Sasaki; Shohei Asaoka (浅岡昇平),Card Game
103,Lords of Waterdeep,2012,7.72969,2.4489,Strategy Game(102),2,5,2,5,3,4,60,120,12,10,Peter Lee; Rodney Thompson,Eric Belisle; Steven Belledin; Zoltan Boros; Noah Bradley; Eric Deschamps; Wayne England; Tony Foti; Todd Harris; Ralph Horsley; Tyler Jacobson; Ron Lemen; Howard Lyon; Warren Mahy; Patrick McEvoy; Jim Nelson; William O'Connor; Adam Paquette; Lucio Parrillo; Dave Rapoza; Richard Sardinha; Mike Schley; Andrew Silver; Anne Stokes; Gábor Szikszai; Matias Tapia; Kevin Walker; Tyler Walpole; Eva Widermann; Eric Williams (I); Matt Wilson (I); Sam Wood; Ben Wootten; James Zhang,City Building; Fantasy
104,Concordia Venus,2018,8.25618,3.0182,Strategy Game(59),2,6,2,6,4,4,60,120,12,12,Mac Gerdts,Marina Fahrenbach; Dominik Mayer,Ancient; Economic
105,Endeavor: Deep Sea,2024,8.21415,2.9104,Strategy Game(65),1,4,1,4,3,3,60,120,10,12,Carl de Visser; Jarratt Gray,Fahed Alrajil; Josh Cappel; Maruša Gorjup,Environmental; Exploration; Nautical
106,Arcs,2024,8.02432,3.4254,Strategy Game(82),2,4,2,4,3,4,60,120,14,12,Cole Wehrle,Kyle Ferrin,Science Fiction; Space Exploration; Wargame
107,Teotihuacan: City of Gods,2018,7.83739,3.779,Strategy Game(83),1,4,1,4,4,4,90,120,14,14,Daniele Tascini,Odysseas Stamoglou,Ancient; City Building; Economic
108,Beyond the Sun,2020,7.8704,3.1493,Strategy Game(75),2,4,2,4,3,3,60,120,14,12,Dennis K. Chan,Franz Vohwinkel,Civilization; Science Fiction; Space Exploration
109,Dominant Species,2010,7.80286,4.0425,Strategy Game(90),2,6,3,6,4,4,120,240,14,14,Chad Jensen,Bartek Jędrzejewski; Chad Jensen; Rodger B. MacGowan; Chechu Nieto; Eric Williams (I); Tomek Zarucki,Animals; Environmental; Prehistoric
110,The Search for Planet X,2020,7.90369,2.437,Strategy Game(89),1,4,1,4,2,3,60,75,13,12,Matthew O'Malley; Ben Rosset,James Masino; Michael Pedro,Deduction; Puzzle; Space Exploration
111,Through the Ages: A Story of Civilization,2006,7.8204,4.178,Strategy Game(84),2,4,2,4,3,3,120,120,12,14,Vlaada Chvátil,Richard Cortes; Paul Niemeyer,Civilization; Economic
112,7 Wonders,2010,7.66495,2.3145,"Strategy Game(118), Family Game(20)",2,7,3,7,4,5,30,30,10,10,Antoine Bauza,Dimitri Chappuis; Miguel Coimbra; Etienne Hebinger; Cyril Nouvel,Ancient; Card Game; City Building; Civilization; Economic
